TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao
B3SA3,4.15,13.72,230.6,372.45,12.7,16.8,141.84,4.1,4.05,97.62,37.33,2509
ITUB4,16.15,39.32,143.49,346.48,9.31,16.14,202.99,6.83,17.34,107.37,30.07,2509
BBAS3,9.28,21.71,133.82,345.62,8.86,16.12,211.81,7.25,12.62,135.89,38.83,2509
TOTS3,11.99,45.43,278.76,337.52,14.24,15.9,58.76,1.66,3.06,25.54,37.28,2509
TIMS3,8.57,22.76,165.58,335.62,10.26,15.85,170.04,5.59,7.06,82.39,29.92,2509
VIVT3,16.7,33.04,97.79,293.08,7.06,14.67,195.3,7.61,15.16,90.73,27.42,2509
SANB11,15.12,31.76,110.04,291.92,7.7,14.64,181.88,6.93,19.49,128.89,32.98,2509
RADL3,8.25,23.48,184.54,218.59,11.02,12.29,34.05,1.26,2.18,26.39,31.9,2509
FLRY3,7.65,14.77,93.01,214.45,6.8,12.14,121.44,5.34,8.76,114.54,32.28,2509
EMBR3,29.5,87.98,198.24,208.95,11.55,11.94,10.71,0.39,0.99,3.34,45.3,2509
USIM5,2.52,5.98,137.3,202.87,9.03,11.72,65.57,2.69,2.92,115.76,55.48,2509
BBDC4,10.9,18.4,68.82,198.05,5.38,11.54,129.23,6.16,9.68,88.78,34.75,2509
EGIE3,20.8,30.31,45.72,185.9,3.84,11.08,140.18,7.24,17.6,84.62,22.45,2509
SUZB3,20.01,48.92,144.48,184.87,9.35,11.04,40.39,1.68,7.39,36.92,33.37,2509
EZTC3,8.35,14.21,70.19,181.27,5.46,10.9,111.08,5.43,6.91,82.72,45.33,2509
CSNA3,5.73,9.68,68.94,180.87,5.38,10.88,111.94,5.5,8.69,151.61,55.85,2509
BBSE3,28.5,35.24,23.65,179.13,2.15,10.81,155.48,8.66,25.5,89.48,27.32,2509
MULT3,15.14,27.66,82.74,139.83,6.21,9.14,57.1,2.93,6.13,40.51,34.74,2509
BBDC3,12.07,15.76,30.57,131.6,2.7,8.76,101.03,6.06,8.9,73.76,33.16,2509
ECOR3,5.63,10.27,82.42,129.64,6.2,8.67,47.22,2.47,1.99,35.26,45.32,2509
RAIL3,6.77,14.74,117.73,129.26,8.09,8.65,11.53,0.56,0.99,14.6,44.03,2509
ALPA4,7.15,12.23,70.94,120.05,5.51,8.21,49.11,2.7,3.5,48.94,44.23,2509
VBBR3,21.13,25.16,19.09,100.87,1.76,7.22,81.79,5.46,10.67,50.52,39.1,1931
UGPA3,15.67,20.56,31.23,82.11,2.76,6.18,50.88,3.42,5.2,33.2,54.8,2509
HYPE3,22.58,22.79,0.93,43.65,0.09,3.69,42.72,3.6,11.02,48.83,32.2,2509
MRVE3,7.99,8.01,0.24,39.27,0.02,3.37,39.03,3.34,4.51,56.44,46.72,2509
IGTI11,20.46,25.15,22.92,36.08,2.09,3.13,13.16,1.04,2.06,10.05,31.7,1019
LREN3,13.45,13.93,3.56,33.92,0.35,2.96,30.36,2.61,4.78,35.5,41.42,2509
DXCO3,5.7,5.33,-6.52,33.27,-0.67,2.91,39.79,3.59,3.69,64.76,43.28,2509
SMTO3,16.05,15.5,-3.43,32.48,-0.35,2.85,35.91,3.2,8.67,53.99,37.38,2509
KLBN11,22.13,18.23,-17.61,31.97,-1.92,2.81,49.58,4.73,8.6,38.88,28.75,2509
CSAN3,6.52,5.5,-15.61,11.53,-1.68,1.1,27.14,2.78,3.61,55.44,37.81,2509
CMIN3,9.29,5.61,-39.61,10.4,-4.92,0.99,50.01,5.91,3.35,36.06,40.07,1206
ABEV3,19.06,14.16,-25.71,10.18,-2.93,0.97,35.89,3.9,6.14,32.2,26.19,2509
YDUQ3,16.75,12.46,-25.61,4.24,-2.92,0.42,29.85,3.33,6.41,38.29,54.68,2509
RECV3,15.27,10.41,-31.85,-9.27,-3.76,-0.97,22.57,2.79,5.42,35.46,43.53,1156
LWSA3,5.15,4.46,-13.4,-9.8,-1.43,-1.03,3.6,0.4,0.21,4.03,64.81,1461
RDOR3,66.53,46.19,-30.58,-23.93,-3.58,-2.7,6.64,0.89,3.59,5.4,36.65,1248
PCAR3,7.32,3.81,-47.97,-29.24,-6.32,-3.4,18.72,2.92,4.89,66.83,80.69,2509
BEEF3,11.58,5.76,-50.27,-35.63,-6.75,-4.31,14.65,2.44,2.6,22.45,41.65,2509
ASAI3,14.28,7.68,-46.22,-44.11,-6.01,-5.65,2.11,0.36,0.43,3.01,40.51,1201
VAMO3,8.04,3.45,-57.09,-51.71,-8.11,-7.02,5.38,1.09,1.06,13.15,51.44,1218
BRKM5,25.7,7.55,-70.62,-55.76,-11.53,-7.83,14.87,3.7,17.62,68.55,51.32,2509
COGN3,10.67,3.63,-65.98,-61.39,-10.22,-9.08,4.59,1.14,1.35,12.68,52.33,2509
PETZ3,15.45,4.6,-70.24,-68.05,-11.41,-10.78,2.18,0.63,0.4,2.59,55.83,1310
IRBR3,224.58,53.0,-76.4,-73.88,-13.45,-12.56,2.52,0.88,45.16,20.11,58.24,2090
CASH3,15.59,3.88,-75.11,-75.08,-12.98,-12.97,0.03,0.01,0.06,0.39,75.87,1273
CVCB3,11.95,1.95,-83.68,-82.23,-16.58,-15.87,1.45,0.72,2.0,16.7,63.18,2509
HAPV3,83.52,14.47,-82.67,-82.25,-16.08,-15.88,0.42,0.2,3.3,3.95,55.51,1901
RAIZ4,7.24,0.83,-88.54,-87.0,-19.47,-18.46,1.54,1.02,0.47,6.48,43.56,1092
AZUL4,22.4,0.8,-96.43,-96.43,-28.34,-28.34,0.0,0.0,0.0,0.0,71.47,2166
AMER3,1396.92,5.42,-99.61,-99.6,-42.6,-42.49,0.01,0.11,62.1,4.45,99.7,2509
