TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao
EGIE3,30.89,31.13,0.77,38.29,0.15,6.7,37.52,6.54,9.37,30.34,19.62,1263
IGTI11,20.46,25.31,23.7,36.95,4.35,6.49,13.24,2.14,2.06,10.05,31.66,1028
MULT3,24.9,27.04,8.59,32.79,1.66,5.84,24.19,4.17,4.72,18.97,30.46,1263
ABEV3,14.97,13.65,-8.82,25.31,-1.83,4.62,34.13,6.45,4.5,30.04,23.74,1263
BBDC4,21.46,18.22,-15.11,22.28,-3.22,4.11,37.39,7.33,5.93,27.64,30.0,1263
BBDC3,19.03,15.64,-17.83,19.88,-3.85,3.69,37.7,7.54,5.39,28.34,27.46,1263
KLBN11,21.88,19.09,-12.76,18.26,-2.69,3.41,31.02,6.1,5.9,26.97,24.24,1263
CYRE3,29.67,23.96,-19.25,12.84,-4.18,2.44,32.08,6.63,8.45,28.49,41.53,1263
SUZB3,52.75,51.87,-1.67,12.6,-0.34,2.4,14.27,2.74,7.43,14.08,28.35,1263
SANB11,41.94,33.73,-19.58,12.04,-4.27,2.3,31.62,6.57,10.23,24.39,26.49,1263
RADL3,22.78,23.69,3.97,11.44,0.78,2.19,7.47,1.41,1.55,6.79,31.96,1263
CMIN3,9.29,5.3,-42.95,4.3,-10.62,0.85,47.25,11.46,3.35,36.06,40.01,1215
RECV3,15.27,11.01,-27.92,-4.04,-6.34,-0.82,23.88,5.52,5.42,35.46,43.42,1165
HYPE3,31.43,23.33,-25.77,-8.89,-5.79,-1.84,16.88,3.94,6.33,20.13,30.95,1263
ECOR3,12.82,10.51,-18.02,-10.76,-3.9,-2.25,7.26,1.64,0.59,4.64,43.95,1263
B3SA3,19.49,13.43,-31.08,-15.34,-7.17,-3.28,15.74,3.9,2.83,14.5,35.94,1263
FLRY3,25.55,14.83,-41.97,-22.05,-10.31,-4.86,19.92,5.45,4.66,18.24,30.39,1263
RENT3,64.66,43.44,-32.81,-22.12,-7.65,-4.88,10.69,2.77,6.91,10.69,37.7,1263
RAIL3,19.98,14.75,-26.18,-22.27,-5.89,-4.91,3.91,0.98,0.99,4.95,31.51,1263
SMTO3,24.98,14.8,-40.75,-26.94,-9.94,-6.08,13.82,3.86,6.51,26.06,36.84,1263
RDOR3,66.53,40.47,-39.17,-27.49,-9.46,-6.23,11.68,3.24,7.27,10.93,36.59,1257
COGN3,4.65,3.13,-32.62,-28.3,-7.59,-6.44,4.32,1.16,0.18,3.78,51.72,1263
BEEF3,10.01,5.37,-46.35,-33.7,-11.71,-7.89,12.65,3.82,2.14,21.4,42.09,1263
ASAI3,14.28,7.28,-49.02,-47.02,-12.61,-11.93,2.0,0.68,0.43,3.01,40.43,1210
EZTC3,33.43,13.7,-59.02,-48.52,-16.34,-12.44,10.5,3.91,3.18,9.51,43.78,1263
CSNA3,26.25,8.7,-66.86,-48.62,-19.82,-12.47,18.24,7.35,7.73,29.44,46.48,1263
USIM5,14.46,5.98,-58.64,-48.8,-16.19,-12.53,9.84,3.66,2.67,18.44,43.14,1263
VAMO3,8.04,3.25,-59.58,-52.48,-16.57,-13.83,7.1,2.74,1.2,14.9,51.36,1227
PCAR3,9.23,3.96,-57.1,-54.21,-15.57,-14.46,2.89,1.11,2.27,24.55,80.94,1263
DXCO3,13.61,5.02,-63.13,-54.69,-18.09,-14.64,8.43,3.44,2.17,15.95,40.4,1263
LREN3,36.91,13.38,-63.75,-56.29,-18.37,-15.26,7.46,3.11,3.15,8.55,42.96,1263
MRVE3,19.56,7.72,-60.53,-57.26,-16.97,-15.63,3.27,1.33,1.04,5.29,49.19,1263
BRKM5,22.02,7.75,-64.8,-58.63,-18.85,-16.18,6.18,2.67,9.24,41.94,49.92,1263
YDUQ3,36.75,12.19,-66.83,-61.86,-19.8,-17.53,4.97,2.27,2.28,6.22,54.92,1263
ALPA4,39.1,11.73,-70.0,-64.05,-21.4,-18.5,5.95,2.9,2.34,5.97,45.83,1263
CSAN3,17.94,5.25,-70.74,-67.25,-21.79,-20.01,3.49,1.78,1.94,10.82,37.14,1263
IRBR3,183.2,52.36,-71.42,-71.42,-22.16,-22.16,0.0,0.0,0.0,0.0,55.68,1263
LWSA3,15.76,4.12,-73.85,-72.76,-23.53,-22.9,1.09,0.63,0.21,1.32,61.24,1263
PETZ3,17.9,4.39,-75.47,-73.67,-24.5,-23.43,1.8,1.08,0.4,2.24,56.3,1263
CASH3,16.71,3.83,-77.08,-77.05,-25.52,-25.5,0.03,0.02,0.06,0.36,76.09,1263
RAIZ4,7.24,0.8,-88.95,-87.47,-35.63,-33.99,1.48,1.64,0.47,6.48,43.39,1101
CVCB3,18.08,2.2,-87.83,-87.83,-34.38,-34.38,0.0,0.0,0.0,0.0,67.64,1263
HAPV3,225.45,14.56,-93.54,-93.51,-42.19,-42.14,0.03,0.05,0.94,0.42,60.01,1263
MGLU3,212.01,8.83,-95.84,-95.7,-47.04,-46.71,0.13,0.33,0.66,0.31,68.81,1263
AMER3,8356.99,5.02,-99.94,-99.94,-77.32,-77.23,0.0,0.09,62.1,0.74,127.05,1263
