TICKER,preco_inicial,preco_final,retorno_total_sem_div_pct,retorno_total_com_div_pct,retorno_anual_sem_div_pct,retorno_anual_com_div_pct,efeito_dividendos_total_pct,efeito_dividendos_anual_pct,dividendos_totais_pagos,dividend_yield_periodo_pct,volatilidade_anual_pct,n_dias_negociacao
GGBR4,4.79,20.75,333.58,583.68,15.8,21.2,250.1,5.4,8.91,186.21,43.08,2510
RENT3,8.28,44.9,442.57,574.3,18.43,21.03,131.74,2.6,8.33,100.61,42.09,2510
TAEE11,17.86,40.77,128.28,543.56,8.6,20.46,415.28,11.86,31.71,177.57,21.54,2510
CYRE3,8.0,29.55,269.37,525.29,13.96,20.12,255.92,6.16,12.02,150.3,44.77,2510
ENEV3,3.5,20.26,478.86,478.86,19.19,19.19,0.0,0.0,0.0,0.0,41.18,2510
ENGI11,12.24,47.35,286.98,468.79,14.49,18.99,181.81,4.5,14.21,116.15,28.95,2510
ITSA4,4.61,11.59,151.62,438.08,9.67,18.33,286.46,8.66,6.57,142.69,27.98,2510
CPFE3,15.51,51.49,231.96,403.52,12.75,17.54,171.56,4.8,12.81,82.59,26.02,2510
B3SA3,3.92,13.53,245.15,386.24,13.19,17.13,141.09,3.95,3.99,101.85,37.34,2510
BBAS3,8.65,21.75,151.59,375.09,9.67,16.86,223.5,7.2,12.53,144.97,38.75,2510
ITUB4,15.19,39.09,157.32,371.85,9.91,16.78,214.53,6.87,17.34,114.15,30.01,2510
TIMS3,7.8,21.48,175.38,370.85,10.66,16.76,195.47,6.1,7.98,102.37,29.88,2510
SANB11,14.05,34.1,142.78,353.01,9.28,16.31,210.23,7.03,19.49,138.76,32.94,2510
TOTS3,11.78,42.77,263.01,319.33,13.76,15.41,56.31,1.65,3.06,26.0,37.28,2510
VIVT3,16.12,32.58,102.11,301.68,7.29,14.92,199.57,7.63,15.16,94.02,27.41,2510
RADL3,7.63,22.93,200.45,236.4,11.63,12.9,35.96,1.27,2.13,27.97,31.85,2510
BBDC4,10.14,18.41,81.61,220.63,6.15,12.36,139.02,6.21,9.68,95.45,34.69,2510
EMBR3,29.24,89.9,207.46,220.31,11.89,12.35,12.85,0.46,1.48,5.06,45.3,2510
FLRY3,7.77,15.0,92.93,214.31,6.79,12.13,121.39,5.34,8.76,112.73,32.28,2510
EGIE3,19.46,31.12,59.94,210.54,4.81,12.0,150.6,7.19,17.41,89.49,22.45,2510
SUZB3,20.01,51.5,157.37,206.39,9.91,11.85,49.02,1.93,8.5,42.5,33.41,2510
USIM5,2.5,5.9,136.0,201.21,8.97,11.66,65.21,2.69,2.92,116.68,55.45,2510
BBSE3,27.1,35.55,31.18,196.13,2.75,11.47,164.95,8.72,25.5,94.1,27.26,2510
EZTC3,8.28,13.63,64.7,172.2,5.12,10.53,107.5,5.42,6.91,83.46,45.33,2510
ALPA4,6.15,11.9,93.58,160.73,6.83,10.06,67.14,3.23,3.45,56.07,44.13,2510
CSNA3,5.88,9.21,56.63,160.42,4.59,10.04,103.79,5.45,8.69,147.74,55.82,2510
RAIL3,6.01,14.63,143.43,156.32,9.3,9.87,12.89,0.57,0.99,16.44,43.98,2510
BBDC3,11.44,15.85,38.52,145.69,3.31,9.41,107.17,6.09,8.9,77.8,33.1,2510
MULT3,14.8,27.5,85.85,143.92,6.39,9.33,58.07,2.93,6.13,41.44,34.76,2510
ECOR3,5.4,10.42,92.87,142.8,6.79,9.28,49.93,2.49,1.99,36.74,45.26,2510
VBBR3,21.13,25.24,19.46,101.51,1.79,7.26,82.05,5.46,10.67,50.52,39.06,1936
UGPA3,14.97,20.93,39.78,93.98,3.41,6.85,54.2,3.44,5.2,34.73,54.77,2510
HYPE3,22.79,23.18,1.71,44.76,0.17,3.77,43.05,3.6,11.02,48.38,32.21,2510
LREN3,12.37,13.55,9.57,41.69,0.92,3.55,32.12,2.63,4.78,38.62,41.42,2510
MRVE3,7.8,7.74,-0.77,37.87,-0.08,3.26,38.64,3.34,4.51,57.83,46.71,2510
SMTO3,15.63,15.64,0.04,37.24,0.0,3.22,37.2,3.21,8.67,55.43,37.39,2510
KLBN11,21.8,18.61,-14.63,36.74,-1.57,3.18,51.37,4.75,8.52,39.07,28.74,2510
IGTI11,20.46,25.2,23.17,36.35,2.11,3.15,13.19,1.04,2.06,10.05,31.71,1024
DXCO3,5.62,5.04,-10.41,27.73,-1.09,2.48,38.14,3.57,3.69,65.69,43.41,2510
YDUQ3,14.01,12.54,-10.49,25.43,-1.1,2.29,35.92,3.39,6.41,45.78,54.58,2510
ABEV3,18.57,13.47,-27.46,13.53,-3.16,1.28,40.99,4.44,6.87,36.98,26.2,2510
CSAN3,6.29,5.28,-16.06,10.94,-1.74,1.04,27.0,2.78,3.61,57.44,37.81,2510
CMIN3,9.29,5.41,-41.77,6.47,-5.26,0.63,48.23,5.89,3.35,36.06,40.05,1211
RECV3,15.27,11.11,-27.26,-3.17,-3.13,-0.32,24.09,2.81,5.42,35.46,43.47,1161
LWSA3,5.15,4.15,-19.42,-16.07,-2.14,-1.74,3.35,0.4,0.21,4.03,64.73,1466
RDOR3,66.53,41.67,-37.37,-25.34,-4.57,-2.88,12.03,1.69,7.27,10.93,36.64,1253
PCAR3,7.32,3.76,-48.65,-30.17,-6.45,-3.53,18.48,2.92,4.89,66.83,80.68,2510
BEEF3,11.21,5.7,-49.15,-34.17,-6.54,-4.1,14.98,2.44,2.6,23.2,41.63,2510
ASAI3,14.28,7.22,-49.44,-47.46,-6.59,-6.23,1.98,0.36,0.43,3.01,40.49,1206
VAMO3,8.04,3.19,-60.33,-53.36,-8.83,-7.34,6.97,1.49,1.2,14.9,51.43,1223
BRKM5,25.64,7.53,-70.63,-55.77,-11.53,-7.83,14.86,3.7,17.62,68.71,51.38,2510
COGN3,9.3,3.29,-64.61,-59.84,-9.87,-8.72,4.77,1.15,1.35,14.54,52.29,2510
PETZ3,15.45,4.23,-72.63,-70.62,-12.15,-11.53,2.01,0.62,0.4,2.59,55.81,1315
IRBR3,224.58,53.65,-76.11,-73.56,-13.34,-12.46,2.55,0.88,45.16,20.11,58.18,2095
CASH3,15.59,3.97,-74.53,-74.51,-12.78,-12.77,0.03,0.01,0.06,0.39,75.74,1278
CVCB3,11.79,2.03,-82.78,-81.24,-16.13,-15.41,1.54,0.72,2.0,16.94,63.15,2510
HAPV3,83.52,14.15,-83.06,-82.65,-16.27,-16.07,0.41,0.2,3.3,3.95,55.44,1906
RAIZ4,7.24,0.81,-88.81,-87.31,-19.67,-18.65,1.5,1.02,0.47,6.48,43.46,1097
AZUL4,22.4,0.81,-96.38,-96.38,-28.25,-28.25,0.0,0.0,0.0,0.0,71.41,2171
AMER3,1408.4,5.36,-99.62,-99.61,-42.71,-42.6,0.01,0.11,62.1,4.41,99.68,2510
