TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,PESO_%
LAVV,Consumo Cíclico,12.03,8.38,6.54,1.57,0.67,34.22,26.28,22.48,5.6,5.61,0.01,0.0,1.47,1.1,-2.84,4.85,24.07,10.19,15.28,0.42,0.5,0.45,51.55,52.04,4199736.29,7.64,1.84,0.22,2351075254.56,0.0
MILS,Bens Industriais,11.16,4.51,9.17,1.76,0.67,62.94,32.97,17.44,4.85,7.04,2.2,0.8,1.6,3.5,-1.04,2.17,19.17,7.32,11.06,0.38,0.62,0.42,29.09,,6927885.14,6.35,1.22,4.31,2613428790.12,0.00012169328023603701
MULT,Financeiro e Outros,25.31,4.41,9.93,2.26,1.03,82.84,67.34,51.35,7.57,10.04,2.47,0.74,5.1,20.32,-1.24,1.41,22.76,10.36,13.41,0.46,0.54,0.2,14.28,22.66,67497211.62,11.2,2.55,0.47,12988173272.31,0.000678494945002142
OFSA,Saúde,22.26,3.27,9.72,1.89,0.95,50.58,81.96,11.92,1.41,1.65,0.24,0.31,1.16,2.54,-2.44,2.56,19.44,9.75,82.39,0.5,0.5,0.82,10.59,21.7,117912.52,11.78,2.29,-0.02,1200904873.56,0.0
PLPL,Consumo Cíclico,13.75,7.32,7.59,3.5,1.12,32.98,18.04,13.69,5.76,6.04,0.27,0.17,1.04,1.94,-7.39,3.12,46.07,14.76,29.06,0.32,0.65,1.08,29.22,29.29,8041940.52,3.93,1.81,0.2,2803638750.0,0.0
RECV,"Petróleo, Gás e Biocombustíveis",13.74,15.96,7.27,0.9,0.54,36.76,29.83,16.42,4.0,4.83,0.83,0.19,1.19,4.3,-0.69,2.47,12.43,7.44,15.94,0.6,0.4,0.45,57.21,54.19,28185796.71,15.21,1.89,-0.7,4032307011.24,0.0
SAPR,Utilidade Pública,16.900000000000002,5.936666666666667,4.663333333333334,0.92,0.4466666666666666,56.21,38.82,34.13,4.103333333333333,5.78,1.76,0.4000000000000001,1.5933333333333335,10.24,-0.5133333333333333,1.47,19.72,9.54,13.92,0.48,0.52,0.28,7.71,17.06,17436398.873333335,18.586666666666662,3.6633333333333336,0.0933333333333333,10847433215.38,0.0
SBSP,Utilidade Pública,111.9,3.33,7.47,1.99,0.89,53.87,43.91,26.93,4.58,5.75,1.17,0.51,2.01,70.2,-1.06,1.09,26.66,11.95,11.85,0.45,0.55,0.44,14.98,24.91,212058282.0,56.18,14.98,0.04,76484754341.1,0.0
SOND,Bens Industriais,41.97333333333333,14.653333333333334,4.329999999999999,1.4366666666666668,0.88,30.11,15.949999999999998,11.54,3.133333333333333,2.26,-0.9499999999999998,-0.44,0.5,3.036666666666666,-2.0,2.07,33.27,20.3,15.5,0.61,0.3899999999999999,1.76,25.49,40.27,2628.0,29.13,9.69,0.01,105765729.0,0.5561642445027064
SYNE,Financeiro e Outros,6.45,51.8,1.76,0.9,0.31,41.41,62.11,42.0,1.19,1.68,0.48,0.37,0.74,1.01,-0.5,5.43,51.13,17.62,21.94,0.34,0.41,0.42,23.59,76.27,2404339.76,7.15,3.66,0.0,984556670.25,0.0016182798926566433
TAEE,Utilidade Pública,18.73,8.13,6.886666666666667,1.59,0.55,63.45000000000001,73.56,42.45,3.973333333333333,7.22,3.24,1.3,2.926666666666667,8.083333333333334,-0.65,1.8500000000000003,23.09,8.01,15.14,0.3499999999999999,0.65,0.19,15.68,10.96,13210657.933333332,11.766666666666666,2.7166666666666663,0.3,11626838111.25,0.0
VAMO,Bens Industriais,3.83,7.0,13.54,1.66,0.18,68.12,59.59,7.1,1.61,6.25,4.64,4.78,0.96,1.52,-0.25,1.86,12.29,1.36,11.69,0.11,0.89,0.19,31.14,16.62,52512681.38,2.3,0.28,-0.28,4140354616.71,0.022005980890470955
VIVA,Consumo Cíclico,25.6,2.58,8.25,2.32,1.43,70.11,27.44,27.44,8.25,8.65,0.4,0.11,2.27,3.18,-3.82,3.54,28.05,17.33,21.78,0.62,0.38,0.63,28.01,23.21,55294495.43,11.06,3.1,0.08,6046662886.4,0.03585877624428957
VLID,Bens Industriais,22.44,12.06,5.99,1.05,0.62,35.02,17.65,14.01,4.76,4.64,-0.12,-0.03,0.84,1.87,-1.28,2.83,17.51,10.39,14.12,0.59,0.4,0.74,1.58,41.37,4667329.43,21.39,3.74,3.8,1836408255.0,0.0
VULC,Consumo Cíclico,18.83,8.63,8.84,2.35,1.77,41.88,18.82,18.63,8.75,8.77,0.02,0.01,1.65,3.45,-5.88,3.74,26.62,20.02,22.84,0.75,0.25,1.07,17.52,32.63,8884421.33,8.01,2.13,0.51,5188347474.52,0.3537725109301277
