TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,PESO_%
ISAE,Utilidade Pública,26.865,9.025,4.96,0.87,0.395,46.33,63.15,42.48,3.335,5.42,2.2,0.57,2.105,2.995,-0.48,3.77,17.48,7.98,10.82,0.46,0.53,0.19,19.24,15.15,11508776.265,30.98,5.42,0.165,17076670740.36,0.0
JHSF,Consumo Cíclico,5.04,7.38,3.22,0.6,0.24,58.77,90.78,62.12,2.2,4.29,2.09,0.57,2.0,1.36,-0.35,2.1,18.55,7.33,11.26,0.4,0.58,0.12,20.35,27.06,8948882.05,8.44,1.57,0.03,3433866690.24,0.0
LEVE,Consumo Cíclico,28.7,9.19,7.78,4.39,1.05,27.77,16.85,10.4,4.81,5.68,0.87,0.8,0.81,6.78,-2.72,1.34,56.36,13.46,26.29,0.24,0.76,1.29,12.53,14.04,5443465.05,6.54,3.69,-0.23,3889969300.0,0.0
MULT,Financeiro e Outros,25.31,4.41,9.93,2.26,1.03,82.84,67.34,51.35,7.57,10.04,2.47,0.74,5.1,20.32,-1.24,1.41,22.76,10.36,13.41,0.46,0.54,0.2,14.28,22.66,67497211.62,11.2,2.55,0.47,12988173272.31,0.0
ODPV,Saúde,11.31,8.07,10.98,4.52,2.76,36.46,31.61,24.29,8.44,7.76,-0.68,-0.36,2.67,-55.21,-3.82,0.85,41.21,25.15,23.16,0.61,0.39,1.04,4.75,14.57,15426575.0,2.5,1.03,1.3,6173283984.66,63.28518505024488
OFSA,Saúde,22.26,3.27,9.72,1.89,0.95,50.58,81.96,11.92,1.41,1.65,0.24,0.31,1.16,2.54,-2.44,2.56,19.44,9.75,82.39,0.5,0.5,0.82,10.59,21.7,117912.52,11.78,2.29,-0.02,1200904873.56,0.0
PATI,Materiais Básicos,36.785,17.66,10.13,1.12,0.5449999999999999,12.3,6.16,3.99,6.5600000000000005,7.52,0.36,0.06,0.4,1.355,-2.075,2.2,11.05,5.39,7.79,0.49,0.51,1.35,14.96,37.28,6679.445,32.85,3.63,0.035,960330161.7,0.0
PETR,"Petróleo, Gás e Biocombustíveis",32.09,17.52,8.594999999999999,1.045,0.36,49.67,27.45,9.7,3.04,5.45,2.4,0.82,0.835,-8.445,-0.405,0.72,12.16,4.19,11.0,0.34,0.65,0.43,10.18,3.69,485865338.905,30.71,3.73,-0.155,416153968704.33,0.0
RECV,"Petróleo, Gás e Biocombustíveis",13.74,15.96,7.27,0.9,0.54,36.76,29.83,16.42,4.0,4.83,0.83,0.19,1.19,4.3,-0.69,2.47,12.43,7.44,15.94,0.6,0.4,0.45,57.21,54.19,28185796.71,15.21,1.89,-0.7,4032307011.24,7.669798268070255
SAPR,Utilidade Pública,16.900000000000002,5.936666666666667,4.663333333333334,0.92,0.4466666666666666,56.21,38.82,34.13,4.103333333333333,5.78,1.76,0.4000000000000001,1.5933333333333335,10.24,-0.5133333333333333,1.47,19.72,9.54,13.92,0.48,0.52,0.28,7.71,17.06,17436398.873333335,18.586666666666662,3.6633333333333336,0.0933333333333333,10847433215.38,0.0
SOND,Bens Industriais,41.97333333333333,14.653333333333334,4.329999999999999,1.4366666666666668,0.88,30.11,15.949999999999998,11.54,3.133333333333333,2.26,-0.9499999999999998,-0.44,0.5,3.036666666666666,-2.0,2.07,33.27,20.3,15.5,0.61,0.3899999999999999,1.76,25.49,40.27,2628.0,29.13,9.69,0.01,105765729.0,0.4069819246648637
SYNE,Financeiro e Outros,6.45,51.8,1.76,0.9,0.31,41.41,62.11,42.0,1.19,1.68,0.48,0.37,0.74,1.01,-0.5,5.43,51.13,17.62,21.94,0.34,0.41,0.42,23.59,76.27,2404339.76,7.15,3.66,0.0,984556670.25,21.036321775936447
TAEE,Utilidade Pública,18.73,8.13,6.886666666666667,1.59,0.55,63.45000000000001,73.56,42.45,3.973333333333333,7.22,3.24,1.3,2.926666666666667,8.083333333333334,-0.65,1.8500000000000003,23.09,8.01,15.14,0.3499999999999999,0.65,0.19,15.68,10.96,13210657.933333332,11.766666666666666,2.7166666666666663,0.3,11626838111.25,0.0
VLID,Bens Industriais,22.44,12.06,5.99,1.05,0.62,35.02,17.65,14.01,4.76,4.64,-0.12,-0.03,0.84,1.87,-1.28,2.83,17.51,10.39,14.12,0.59,0.4,0.74,1.58,41.37,4667329.43,21.39,3.74,3.8,1836408255.0,1.1697305686758763
VULC,Consumo Cíclico,18.83,8.63,8.84,2.35,1.77,41.88,18.82,18.63,8.75,8.77,0.02,0.01,1.65,3.45,-5.88,3.74,26.62,20.02,22.84,0.75,0.25,1.07,17.52,32.63,8884421.33,8.01,2.13,0.51,5188347474.52,0.0
WHRL,Consumo Cíclico,4.17,18.09,7.005,2.29,0.625,18.11,7.43,6.8,6.405,4.62,-1.8,-0.64,0.475,14.775,-2.0,1.07,32.67,8.9,17.85,0.27,0.73,1.31,10.8,-12.8,77778.64499999999,1.82,0.6,0.05,6277709960.58,0.0
