TICKER,SETOR,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG RATIO,VALOR DE MERCADO,PESO_%
CSRN,Utilidade Pública,14.733333333333334,9.526666666666666,4.723333333333334,1.4633333333333336,0.3999999999999999,29.69,24.55,13.48,2.5966666666666667,5.05,2.65,1.5,0.6366666666666667,5.513333333333333,-0.5166666666666667,1.4799999999999998,31.03,8.5,18.9,0.27,0.73,0.63,7.94,13.79,0.0,10.04,3.12,-0.3633333333333333,2273440192.0,0.0
EQPA,Utilidade Pública,6.8125,9.835,7.762499999999999,2.7925,0.87,31.06,22.79,17.37,5.9175,6.59,1.69,0.8,1.35,10.1875,-1.295,1.35,36.01,11.21,19.77,0.31,0.69,0.65,14.19,32.82,10274.12,2.44,0.88,-0.5925,12465679418.96,0.0
GEPA,Utilidade Pública,34.620000000000005,20.29,3.755,1.93,0.93,19.83,30.15,61.28,7.63,8.17,0.44,0.11,2.305,-8.774999999999999,-1.14,0.63,51.48,24.76,16.68,0.48,0.52,0.4,1.08,27.75,8564.135,17.91,9.22,0.025,3309571791.54,0.05056671693814596
ISAE,Utilidade Pública,26.865,9.025,4.96,0.87,0.395,46.33,63.15,42.48,3.335,5.42,2.2,0.57,2.105,2.995,-0.48,3.77,17.48,7.98,10.82,0.46,0.53,0.19,19.24,15.15,11508776.265,30.98,5.42,0.165,17076670740.36,0.0
JHSF,Consumo Cíclico,5.04,7.38,3.22,0.6,0.24,58.77,90.78,62.12,2.2,4.29,2.09,0.57,2.0,1.36,-0.35,2.1,18.55,7.33,11.26,0.4,0.58,0.12,20.35,27.06,8948882.05,8.44,1.57,0.03,3433866690.24,6.717910581567748
LAVV,Consumo Cíclico,12.03,8.38,6.54,1.57,0.67,34.22,26.28,22.48,5.6,5.61,0.01,0.0,1.47,1.1,-2.84,4.85,24.07,10.19,15.28,0.42,0.5,0.45,51.55,52.04,4199736.29,7.64,1.84,0.22,2351075254.56,0.6454489665919728
MULT,Financeiro e Outros,25.31,4.41,9.93,2.26,1.03,82.84,67.34,51.35,7.57,10.04,2.47,0.74,5.1,20.32,-1.24,1.41,22.76,10.36,13.41,0.46,0.54,0.2,14.28,22.66,67497211.62,11.2,2.55,0.47,12988173272.31,0.10995371840601331
OFSA,Saúde,22.26,3.27,9.72,1.89,0.95,50.58,81.96,11.92,1.41,1.65,0.24,0.31,1.16,2.54,-2.44,2.56,19.44,9.75,82.39,0.5,0.5,0.82,10.59,21.7,117912.52,11.78,2.29,-0.02,1200904873.56,0.0
PETR,"Petróleo, Gás e Biocombustíveis",32.09,17.52,8.594999999999999,1.045,0.36,49.67,27.45,9.7,3.04,5.45,2.4,0.82,0.835,-8.445,-0.405,0.72,12.16,4.19,11.0,0.34,0.65,0.43,10.18,3.69,485865338.905,30.71,3.73,-0.155,416153968704.33,0.21395481586576343
RECV,"Petróleo, Gás e Biocombustíveis",13.74,15.96,7.27,0.9,0.54,36.76,29.83,16.42,4.0,4.83,0.83,0.19,1.19,4.3,-0.69,2.47,12.43,7.44,15.94,0.6,0.4,0.45,57.21,54.19,28185796.71,15.21,1.89,-0.7,4032307011.24,0.0
SAPR,Utilidade Pública,16.900000000000002,5.936666666666667,4.663333333333334,0.92,0.4466666666666666,56.21,38.82,34.13,4.103333333333333,5.78,1.76,0.4000000000000001,1.5933333333333335,10.24,-0.5133333333333333,1.47,19.72,9.54,13.92,0.48,0.52,0.28,7.71,17.06,17436398.873333335,18.586666666666662,3.6633333333333336,0.0933333333333333,10847433215.38,0.0
SOND,Bens Industriais,41.97333333333333,14.653333333333334,4.329999999999999,1.4366666666666668,0.88,30.11,15.949999999999998,11.54,3.133333333333333,2.26,-0.9499999999999998,-0.44,0.5,3.036666666666666,-2.0,2.07,33.27,20.3,15.5,0.61,0.3899999999999999,1.76,25.49,40.27,2628.0,29.13,9.69,0.01,105765729.0,0.572127833279633
SYNE,Financeiro e Outros,6.45,51.8,1.76,0.9,0.31,41.41,62.11,42.0,1.19,1.68,0.48,0.37,0.74,1.01,-0.5,5.43,51.13,17.62,21.94,0.34,0.41,0.42,23.59,76.27,2404339.76,7.15,3.66,0.0,984556670.25,0.0
TAEE,Utilidade Pública,18.73,8.13,6.886666666666667,1.59,0.55,63.45000000000001,73.56,42.45,3.973333333333333,7.22,3.24,1.3,2.926666666666667,8.083333333333334,-0.65,1.8500000000000003,23.09,8.01,15.14,0.3499999999999999,0.65,0.19,15.68,10.96,13210657.933333332,11.766666666666666,2.7166666666666663,0.3,11626838111.25,0.4498643605759624
VAMO,Bens Industriais,3.83,7.0,13.54,1.66,0.18,68.12,59.59,7.1,1.61,6.25,4.64,4.78,0.96,1.52,-0.25,1.86,12.29,1.36,11.69,0.11,0.89,0.19,31.14,16.62,52512681.38,2.3,0.28,-0.28,4140354616.71,75.87984642151903
VIVA,Consumo Cíclico,25.6,2.58,8.25,2.32,1.43,70.11,27.44,27.44,8.25,8.65,0.4,0.11,2.27,3.18,-3.82,3.54,28.05,17.33,21.78,0.62,0.38,0.63,28.01,23.21,55294495.43,11.06,3.1,0.08,6046662886.4,0.0
VLID,Bens Industriais,22.44,12.06,5.99,1.05,0.62,35.02,17.65,14.01,4.76,4.64,-0.12,-0.03,0.84,1.87,-1.28,2.83,17.51,10.39,14.12,0.59,0.4,0.74,1.58,41.37,4667329.43,21.39,3.74,3.8,1836408255.0,0.0
VULC,Consumo Cíclico,18.83,8.63,8.84,2.35,1.77,41.88,18.82,18.63,8.75,8.77,0.02,0.01,1.65,3.45,-5.88,3.74,26.62,20.02,22.84,0.75,0.25,1.07,17.52,32.63,8884421.33,8.01,2.13,0.51,5188347474.52,0.0
WHRL,Consumo Cíclico,4.17,18.09,7.005,2.29,0.625,18.11,7.43,6.8,6.405,4.62,-1.8,-0.64,0.475,14.775,-2.0,1.07,32.67,8.9,17.85,0.27,0.73,1.31,10.8,-12.8,77778.64499999999,1.82,0.6,0.05,6277709960.58,0.35495933530269286
WIZC,Financeiro e Outros,7.43,3.37,7.02,2.0,0.46,62.29,44.13,12.96,2.06,2.0,-0.06,-0.06,0.91,50.46,-0.62,1.04,28.54,6.62,23.88,0.23,0.53,0.51,13.02,-4.57,1946229.9,3.71,1.06,2.78,1188111105.26,0.0
